2024-0515 	14:30:03	40c87bb0-ee7f-4a20-88dd-ce5f319556aa	GET  null /
2024-0515 	14:31:03	ec6b6f6a-12ac-4064-8fca-9a1e13963ca4	GET  undefined /css/style.css
2024-0515 	14:31:04	468c29ba-7376-4a03-ad40-3e91bc6e3414	GET  undefined /new-page.html
2024-0515 	14:31:38	347eaf5a-b5b2-416e-b089-1625d381ff0e	GET  undefined /new-page.html
2024-0515 	14:31:40	7703bc94-78b2-4c91-a97f-5384cb1682f9	GET  undefined /new-page.html
2024-0515 	14:32:53	ba5c94aa-48e1-4bfc-89f4-620034da3521	GET  undefined /new-page.html
2024-0515 	14:32:53	f79ac065-8acc-4666-b7eb-d83dea8ec44d	GET  undefined /css/style.css
2024-0515 	14:32:53	a452ac55-bee6-4c91-a659-34e5784b353b	GET  undefined /images/img1.jpg
2024-0515 	14:32:55	7bae54ef-1012-4f28-a1af-d866182dc01e	GET  undefined /new-page.html
2024-0515 	14:32:55	b8f0a773-f934-47a7-a6d7-32100ebc55fe	GET  undefined /css/style.css
2024-0515 	14:32:55	e6e42d78-f54a-4e73-b5f8-0b56b6c55fd5	GET  undefined /images/img1.jpg
2024-0515 	14:33:27	0eb13fac-2b80-4661-bbc6-5940506ebc8c	GET  undefined /new-page.html
2024-0515 	14:33:27	e8cccd90-27bf-4604-b8e6-0e2722e74e82	GET  undefined /css/style.css
2024-0515 	14:33:27	8ff42b7a-68b4-45c5-9994-1dff4f836819	GET  undefined /images/img1.jpg
2024-0515 	14:33:31	45757b96-af89-4c49-acd8-00a04b506a00	GET  undefined /
2024-0515 	14:37:48	e00b8006-bb0f-4595-b8b0-98fc777d125e	GET  undefined /new-page.html
2024-0515 	14:38:01	c66e3d9b-5e3e-4f41-b1b0-447f97a1d471	GET  undefined /new-page.html
2024-0515 	14:40:23	f23b9e24-92ff-4889-8457-3250df40856d	GET  undefined /new-page.html
2024-0515 	14:40:25	f625e0c1-a8c6-4d0f-868f-6dc14214cdd5	GET  undefined /new-page.html
2024-0515 	14:40:56	8b71d64b-886c-4845-8e07-032cb5ffd4fc	GET  undefined /new-page.html
2024-0515 	14:40:58	d6ed38be-72c4-460f-986b-d8295094b5e8	GET  undefined /new-page.html
2024-0515 	14:42:41	e7a4d8a4-5d57-4008-aace-a6067998aafa	GET  undefined /new-page.html
2024-0515 	14:42:42	f1e00371-3f9d-4eed-bf05-73ebeabdcca4	GET  undefined /new-page.html
2024-0515 	14:42:45	1f72c3bd-a0c8-49fd-889e-5432103f4455	GET  undefined /new-page.html
2024-0515 	14:45:31	f4bf3020-62d8-4d90-9845-d46f44e711ae	GET  undefined /new-page.html
2024-0515 	14:46:13	43dc7fc1-e19d-4f39-9d36-336978b0460d	GET  undefined /new-page.html
2024-0515 	14:46:16	219adc5e-3f1e-4331-9503-31f5229c33f7	GET  undefined /new-page.html
2024-0515 	14:46:19	3bb4848f-a393-46bf-81f1-e9d47ad7a9b1	GET  undefined /
2024-0515 	14:46:21	2ec30395-26af-4393-a680-b1b92095841d	GET  undefined /
2024-0515 	14:46:38	72f0b159-7fca-4db4-bc59-85ccb8b06c2e	GET  undefined /
2024-0515 	14:47:08	5d96c77d-f741-4096-9e16-6de02f1d7529	GET  undefined /
2024-0515 	14:47:19	4f662bff-cbc6-4f81-97ef-87a5ffc44934	GET  undefined /
2024-0515 	14:47:42	37807655-1fcd-4e84-9e57-a6390d34a5ea	GET  undefined /
2024-0515 	14:47:50	2b01dfb3-a168-4fe5-a181-e3182e643481	GET  undefined /
2024-0515 	14:47:55	748f57ab-2371-452e-8f10-4eae2d4a193c	GET  undefined /
2024-0515 	14:48:08	f47acbf8-a31d-43c3-b60b-ca00e13071d3	GET  undefined /
2024-0515 	14:48:33	e9a68b82-1c32-4cca-bc11-3d0736e94bf7	GET  undefined /
2024-0515 	14:48:35	897aefde-a754-4067-a829-6b340e9ae0dc	GET  undefined /
2024-0515 	14:48:35	4d9918b8-b4a8-47a2-86fe-6fd17411f160	GET  undefined /css/style.css
2024-0515 	14:48:48	87dbe5cb-97e0-474b-bc66-b968b5d65ebe	GET  undefined /
2024-0515 	14:48:48	4d3c5b7d-8b82-4ec3-9dcc-a2dc6993613e	GET  undefined /css/style.css
2024-0515 	14:49:35	9498e88b-ee23-450e-a101-48134faacf8d	POST  undefined /
2024-0515 	14:50:36	38272b80-cc6e-4d03-909b-d4059021f938	POST  undefined /
2024-0515 	14:50:51	bebecc49-f928-4b70-bb70-fb8ee5ca41ee	GET  undefined /
2024-0515 	14:50:51	7c890368-624d-4b8f-989a-523ba57de78c	GET  undefined /css/style.css
2024-0515 	14:51:36	272862dd-9a55-41ef-9b28-da8694dd536a	GET  undefined /
2024-0515 	14:51:36	986a6005-d6b3-4d51-be94-fd6911d64283	GET  undefined /css/style.css
2024-0515 	20:01:45	9bf9d494-40dc-4932-b699-7bd596e2e6e5	GET  undefined /hello-world
2024-0515 	20:01:45	ff0545ff-b0b3-4409-a644-b94298b9fc96	GET  undefined /css/style.css
2024-0515 	20:01:45	638e440f-a61d-47fa-94d9-3eabd94f4699	GET  undefined /favicon.ico
2024-0515 	20:01:48	af403f68-fef3-4737-ba47-25c10fb36ad3	GET  undefined /
2024-0515 	20:01:49	414b032d-dc49-42eb-9c68-527641d745d5	GET  undefined /
2024-0515 	20:01:49	a8872c23-7efa-4f25-9614-3f8a8682892d	GET  undefined /css/style.css
2024-0515 	20:01:51	0f7a2b45-5952-4688-ac23-66dc28194b16	GET  undefined /
2024-0515 	20:01:51	c58fe32a-d47a-49bc-99fa-2a86d9e843be	GET  undefined /css/style.css
2024-0515 	20:02:13	6aa300be-b7c4-4213-8c92-8791400ce8bf	GET  undefined /new-page
2024-0515 	20:02:13	cb40c9db-b428-43c9-8c10-b1b05d6d28a4	GET  undefined /css/style.css
2024-0515 	20:02:37	9674c17e-15bc-40e5-9189-a16109249280	GET  undefined /subdir
2024-0515 	20:02:37	8bab919b-32eb-4b15-849b-5e6996279e76	GET  undefined /css/style.css
2024-0515 	20:02:40	f0234c3f-1c0f-46d4-9972-3974d2971065	GET  undefined /subdir/
2024-0515 	20:02:40	7ed4273d-f7d2-4e32-adba-acf4f2ff8d78	GET  undefined /subdir/css/style.css
2024-0515 	20:02:44	3a5fc62e-b0d0-428d-8c66-81770f0759d8	GET  undefined /subdir
2024-0515 	20:02:44	aabe0ac2-95b1-43f2-8f79-1d0aa5cb51f5	GET  undefined /css/style.css
2024-0515 	20:02:50	af77239e-392b-4b6d-a8de-a00c2436b0bf	GET  undefined /subdir/test
2024-0515 	20:02:50	4a0a685b-1f73-4c48-b7ad-cef85aeb625a	GET  undefined /subdir/css/style.css
2024-0515 	20:03:07	1bbd76ae-8e92-4854-8708-1d786502e67f	GET  undefined /subdir/test
2024-0515 	20:03:07	12c9eb0a-8086-45b1-ab0a-6d217e44c94c	GET  undefined /subdir/css/style.css
2024-0515 	20:03:10	3f90a5c8-4db9-40ae-a3e5-5650ed10da9c	GET  undefined /subdir
2024-0515 	20:03:10	e6ba5b65-20f9-4c63-918b-bdef950df5c1	GET  undefined /css/style.css
2024-0515 	20:03:50	b620fde8-220e-49d0-804d-837b36c84aa0	GET  undefined /hello-world
2024-0515 	20:03:50	a5ecde83-091e-412c-b820-87fb758fb072	GET  undefined /css/style.css
2024-0515 	20:08:34	cffda398-5089-468c-8422-5bccafb8f307	GET  undefined /hello-world
2024-0515 	20:08:34	dda97629-c657-4437-afce-ef680a6a32e4	GET  undefined /css/style.css
2024-0515 	20:08:37	f7d4e865-d825-4eef-8380-6b625e9975b9	GET  undefined /
2024-0515 	20:08:37	0e9a73eb-ca5a-4625-8230-a7f463a32634	GET  undefined /css/style.css
2024-0515 	20:08:39	6bca69dc-ea21-4dd9-b8c7-8e8ffc65ebcb	GET  undefined /
2024-0515 	20:08:39	77415668-f4b4-4672-95a9-3ba665858266	GET  undefined /css/style.css
2024-0515 	20:08:43	acf4fe2e-d6b2-4d01-9cad-fac73b5b9299	GET  undefined /subdir
